Date,Price,Open,High,Low,Change %
"Apr 02, 2019",90.493,90.673,90.689,89.465,-0.15%
"Apr 01, 2019",90.632,90.200,90.998,89.999,0.54%
"Mar 29, 2019",90.148,90.252,90.960,89.769,-0.09%
"Mar 28, 2019",90.226,91.136,91.329,90.206,-0.98%
"Mar 27, 2019",91.116,91.130,91.700,90.717,0.01%
"Mar 26, 2019",91.108,90.893,91.370,90.590,0.19%
"Mar 25, 2019",90.935,91.353,91.540,90.670,-0.46%
"Mar 22, 2019",91.353,90.203,91.411,90.021,1.31%
"Mar 21, 2019",90.169,90.775,91.006,89.374,-0.65%
"Mar 20, 2019",90.761,91.576,91.707,90.414,-0.87%
"Mar 19, 2019",91.556,90.973,91.840,90.758,0.66%
"Mar 18, 2019",90.956,91.634,91.731,90.504,-0.77%
"Mar 15, 2019",91.662,91.854,92.034,91.243,-0.19%
"Mar 14, 2019",91.833,92.755,92.774,91.578,-0.94%
"Mar 13, 2019",92.701,91.035,93.061,90.924,1.87%
"Mar 12, 2019",90.999,91.859,92.764,90.659,-0.92%
"Mar 11, 2019",91.845,91.141,92.007,90.604,0.82%
"Mar 08, 2019",91.098,91.747,91.988,90.941,-0.67%
"Mar 07, 2019",91.711,92.296,92.475,91.626,-0.61%
"Mar 06, 2019",92.275,92.902,92.906,91.970,-0.64%
"Mar 05, 2019",92.865,93.438,93.580,92.428,-0.67%
"Mar 04, 2019",93.489,93.986,94.249,93.366,-0.25%
"Mar 01, 2019",93.721,93.948,94.183,93.399,-0.22%
"Feb 28, 2019",93.928,94.768,94.884,93.881,-0.86%
"Feb 27, 2019",94.740,94.108,95.063,93.923,0.71%
"Feb 26, 2019",94.075,92.715,94.402,92.715,1.44%
"Feb 25, 2019",92.736,92.871,93.067,92.439,0.04%
"Feb 22, 2019",92.695,92.835,92.961,92.253,-0.16%
"Feb 21, 2019",92.844,92.675,93.223,92.536,0.21%
"Feb 20, 2019",92.648,93.132,93.274,92.535,-0.51%
"Feb 19, 2019",93.119,92.249,93.221,91.996,0.98%
"Feb 18, 2019",92.217,91.955,92.376,91.955,0.33%
"Feb 15, 2019",91.917,90.916,92.021,90.853,1.06%
"Feb 14, 2019",90.957,91.046,91.392,90.805,-0.07%
"Feb 13, 2019",91.025,90.940,91.781,90.844,0.12%
"Feb 12, 2019",90.913,91.482,91.717,90.723,-0.53%
"Feb 11, 2019",91.395,92.164,92.221,91.376,-0.79%
"Feb 08, 2019",92.124,92.372,92.519,91.771,-0.23%
"Feb 07, 2019",92.335,92.539,92.828,91.894,-0.20%
"Feb 06, 2019",92.516,92.628,92.958,92.496,-0.05%
"Feb 05, 2019",92.561,93.481,93.680,92.486,-0.96%
"Feb 04, 2019",93.461,93.473,93.956,93.315,0.06%
"Feb 01, 2019",93.403,93.025,93.603,92.798,0.44%
"Jan 31, 2019",92.994,93.432,93.575,92.887,-0.45%
"Jan 30, 2019",93.412,93.352,93.649,93.005,0.16%
"Jan 29, 2019",93.265,93.557,94.079,93.211,-0.26%
"Jan 28, 2019",93.508,93.546,93.915,93.414,-0.05%
"Jan 25, 2019",93.554,92.761,93.715,92.690,0.88%
"Jan 24, 2019",92.741,93.031,93.244,92.437,-0.29%
"Jan 23, 2019",93.011,92.342,93.164,92.141,0.77%
"Jan 22, 2019",92.304,91.765,92.470,91.700,0.61%
"Jan 21, 2019",91.747,91.740,92.011,91.373,0.10%
"Jan 18, 2019",91.656,92.262,92.459,91.548,-0.64%
"Jan 17, 2019",92.246,91.462,92.398,91.353,0.91%
"Jan 16, 2019",91.416,91.442,91.822,91.115,0.01%
"Jan 15, 2019",91.408,91.016,91.712,90.084,0.44%
"Jan 14, 2019",91.006,90.448,91.467,90.377,0.64%
"Jan 11, 2019",90.427,89.839,90.589,89.608,0.75%
"Jan 10, 2019",89.752,90.246,90.335,89.595,-0.51%
"Jan 09, 2019",90.212,89.197,90.355,89.155,1.15%
"Jan 08, 2019",89.184,89.213,89.679,89.040,0.02%
"Jan 07, 2019",89.166,88.537,89.244,88.271,0.76%
"Jan 04, 2019",88.497,88.574,88.774,88.077,-0.04%
"Jan 03, 2019",88.536,88.235,88.706,87.070,0.35%
"Jan 02, 2019",88.224,88.496,89.278,88.087,-0.37%
"Jan 01, 2019",88.553,88.782,89.016,88.379,-0.21%
"Dec 31, 2018",88.738,88.691,89.424,88.476,-0.10%
